title,pdf_url,excel_url,source,year
Fine+arts+statistics+2018+AR.pdf,https://www.stats.gov.sa/documents/20117/2435259/Fine+arts+statistics+2018+AR.pdf/648f517b-7feb-7bdc-ab62-c102b15852d7?t=1734951508313,,Saudi Statistics,2018
Fine+arts+statistics+2018+AR.xlsx,,https://www.stats.gov.sa/documents/20117/2435259/Fine+arts+statistics+2018+AR.xlsx/80e70c14-a773-c3c6-9cb6-41aafd87efbc?t=1734951516545,Saudi Statistics,2018
Number+of+monuments+and+number+of+visits+2018+AR.pdf,https://www.stats.gov.sa/documents/20117/2435259/Number+of+monuments+and+number+of+visits+2018+AR.pdf/d94fa057-494f-c89e-6147-1d625eb0fd59?t=1734951859419,,Saudi Statistics,2018
Number+of+monuments+and+number+of+visits+2018+AR.xlsx,,https://www.stats.gov.sa/documents/20117/2435259/Number+of+monuments+and+number+of+visits+2018+AR.xlsx/0001c7e7-688d-2044-5352-337e812c6e01?t=1734951868200,Saudi Statistics,2018
Number+of+local+newspaper+and+magazines%2C+local+digital+magazines+2018+AR.pdf,https://www.stats.gov.sa/documents/20117/2435259/Number+of+local+newspaper+and+magazines%2C+local+digital+magazines+2018+AR.pdf/589e9ef5-4ac6-5eee-7d2f-17805c7cde46?t=1734951921178,,Saudi Statistics,2018
Number+of+local+newspaper+and+magazines%2C+local+digital+magazines+2018+AR.xlsx,,https://www.stats.gov.sa/documents/20117/2435259/Number+of+local+newspaper+and+magazines%2C+local+digital+magazines+2018+AR.xlsx/36b5b295-d7af-ca1a-f482-70f4af0d844d?t=1734951931293,Saudi Statistics,2018
Number+of+TV+and+Radio+Channels+2018+AR.pdf,https://www.stats.gov.sa/documents/20117/2435259/Number+of+TV+and+Radio+Channels+2018+AR.pdf/77939df1-43c0-757f-2b06-5d39e5de9eb4?t=1734952017631,,Saudi Statistics,2018
Number+of+TV+and+Radio+Channels+2018+AR.xlsx,,https://www.stats.gov.sa/documents/20117/2435259/Number+of+TV+and+Radio+Channels+2018+AR.xlsx/8b61565e-c0f3-cc76-c6e8-5cb13ca55e68?t=1734952027587,Saudi Statistics,2018
Number+of+theaters%2C+performances%2C+and+concerts+2018+AR.pdf,https://www.stats.gov.sa/documents/20117/2435259/Number+of+theaters%2C+performances%2C+and+concerts+2018+AR.pdf/fb9dc7ad-90ff-e90d-ae3b-bab9ce431f6c?t=1734952088462,,Saudi Statistics,2018
Number+of+theaters%2C+performances%2C+and+concerts+2018+AR.xlsx,,https://www.stats.gov.sa/documents/20117/2435259/Number+of+theaters%2C+performances%2C+and+concerts+2018+AR.xlsx/ed0e7f54-52fc-9040-e91f-f7b8268fe6f2?t=1734952096807,Saudi Statistics,2018
Number+of+natural+landscapes+and+heritage+2018+AR.pdf,https://www.stats.gov.sa/documents/20117/2435259/Number+of+natural+landscapes+and+heritage+2018+AR.pdf/8cacef12-b1df-9f29-f9d1-bc6768979a46?t=1734952157669,,Saudi Statistics,2018
Number+of+natural+landscapes+and+heritage+2018+AR.xlsx,,https://www.stats.gov.sa/documents/20117/2435259/Number+of+natural+landscapes+and+heritage+2018+AR.xlsx/ef24d19c-0c8e-1888-2d64-78bb84d0d723?t=1734952167007,Saudi Statistics,2018
